probability,verdict,path_a,path_b,d_ahash,d_dhash,d_phash,dim_ratio,aspect_delta,size_ratio,hist_distance,brightness_delta,contrast_delta
0.507842,1,"demo/images/8.jpg","demo/images/4.jpg",16,18,26,0.982241,0.00198216,0.968463,0.125977,0.040247,0.0980501
0.92859,1,"demo/images/8.jpg","demo/images/8_cropped.jpg",18,12,16,0.484972,8.46274e-05,0.569848,0.173828,0.0503549,0.0312235
0.208968,0,"demo/images/8.jpg","demo/images/4_flipped.jpg",16,18,30,0.982241,0.00198216,0.99139,0.128906,0.038895,0.0961648
0.04385,0,"demo/images/8.jpg","demo/images/fabio-sasso-T_YG9paUo5I-unsplash.jpg",16,18,28,0.25452,0.00198216,0.301334,0.131836,0.0403355,0.0977568
0.999998,1,"demo/images/8.jpg","demo/images/saleh-iU4ydxNdxy0-unsplash.jpg",0,0,2,0.25,0,0.194626,0.00878906,0.000361581,0.00191228
0.00425345,0,"demo/images/7_cropped.jpg","demo/images/7.jpg",7,31,26,0.536641,0,0.61434,0.105469,0.0200677,0.0149174
0.000940176,0,"demo/images/7_cropped.jpg","demo/images/pawel-czerwinski-tkKMInGuxk8-unsplash.jpg",8,32,26,0.13416,0,0.171695,0.106445,0.0200969,0.0165606
0.958193,1,"demo/images/6_cropped.jpg","demo/images/6.jpg",5,14,16,0.658867,0.000949541,0.799583,0.146484,0.034748,0.0764021
0.905557,1,"demo/images/6_cropped.jpg","demo/images/marek-piwnicki-CqCvgf-_dFE-unsplash.jpg",5,13,16,0.164836,0.000223589,0.211034,0.140625,0.0346536,0.0749714
3.30566e-08,0,"demo/images/6_cropped.jpg","demo/images/10_flipped.jpg",11,25,28,0.164636,0.981053,0.274129,0.654297,0.0601168,0.240599
0.912567,1,"demo/images/claudio-schwarz-7CbegtZVUHs-unsplash.jpg","demo/images/2_rot.jpg",6,13,20,0.190032,0.000131294,0.224706,0.0341797,0.00681176,0.00761229
0.999999,1,"demo/images/claudio-schwarz-7CbegtZVUHs-unsplash.jpg","demo/images/2.jpg",0,0,0,0.25,0,0.297935,0.00683594,9.75964e-05,0.000108913
0.999998,1,"demo/images/hanna-lazar-Qig5SzMq-i4-unsplash.jpg","demo/images/5.jpg",0,1,0,0.25,0,0.25462,0.015625,0.000159739,0.000381097
0.999999,1,"demo/images/1.jpg","demo/images/alexander-lunyov-rLvgkl-NxMI-unsplash.jpg",0,1,0,0.25,0,0.226403,0.00488281,0.000137299,0.00105566
